ID,이름,생년월일,전화번호,주소,메모
1,류유원,1982-01-29,010-4379-7790,625 수성로,
2,장아아,2003-10-08,010-3235-9710,730 범어로,
3,최하성,1988-08-23,010-1654-3940,749 수성로,
4,신도훈,1980-12-11,010-6871-6292,586 동성로,
5,김지희,1993-09-15,010-6981-8736,827 동성로,
6,안현희,1985-07-23,010-9269-5470,120 수성로,
7,최은훈,2002-10-23,010-7811-2521,149 중앙로,
8,류주경,2009-11-12,010-3850-7786,356 수성로,
9,장주성,1997-08-20,010-8859-3963,859 칠성로,
10,최유온,2003-05-14,010-4841-8606,863 수성로,
11,이유현,1988-01-19,010-4213-3107,808 중앙로,
12,김지우,1991-04-30,010-2942-9966,376 동성로,
13,윤준현,1987-06-10,010-2704-4812,433 범어로,
14,신다진,1989-11-28,010-9822-7552,94 수성로,
15,윤지성,1993-07-21,010-2242-2530,884 범어로,
16,서아나,2007-10-28,010-5998-8529,692 동성로,
17,오예나,2000-09-28,010-9757-5782,635 수성로,
18,임도윤,2006-07-12,010-7067-4286,886 중앙로,
19,한세율,1987-04-12,010-2468-3595,793 범어로,
20,김시빈,2007-03-13,010-4217-2475,941 동성로,
21,김민영,2007-02-17,010-9494-6889,930 수성로,
22,강현주,2003-06-08,010-9208-4615,987 동성로,
23,조진빈,1997-03-08,010-5073-2904,474 중앙로,
24,최세영,2008-10-04,010-5227-2227,733 칠성로,
25,강도아,1993-06-15,010-1946-3894,666 범어로,
26,정현우,2004-03-14,010-8179-1688,638 수성로,
27,신아진,1995-10-23,010-7764-3332,731 칠성로,
28,조주진,1984-12-22,010-7275-9321,127 범어로,
29,안도진,1981-10-25,010-7191-5933,71 칠성로,
30,한시우,1990-12-23,010-2668-5840,308 수성로,
31,김윤빈,1980-02-14,010-8226-6120,97 중앙로,
32,송수영,2004-04-23,010-9339-8948,606 동성로,
33,박수빈,1998-06-16,010-2947-3704,963 동성로,
34,최윤원,2007-07-27,010-7993-2387,521 수성로,
35,정세현,1997-05-04,010-1926-1313,978 칠성로,
36,정지경,1986-06-07,010-4355-2836,564 범어로,
37,김채희,2009-06-07,010-3564-8213,354 중앙로,
38,안채경,1998-02-18,010-9355-1200,180 동성로,
39,한유온,2009-11-12,010-5686-4735,111 중앙로,
40,권하진,1984-04-02,010-2838-4218,676 범어로,
41,오다영,1985-12-12,010-4418-9159,345 중앙로,
42,김유희,2004-12-02,010-4367-5227,600 동성로,
